Fecha,Estacion,Caudal
2016-04-14,BajadaDelAgrio,16.42
2016-04-14,PasodeIndios,55.79
2016-04-15,Andacollo,13.53
2016-04-15,BajadaDelAgrio,16.42
2016-04-15,PasodeIndios,62.46
2016-04-16,Andacollo,20.74
2016-04-16,BajadaDelAgrio,16.42
2016-04-16,PasodeIndios,82.72
2016-04-17,Andacollo,32.31
2016-04-17,BajadaDelAgrio,16.42
2016-04-17,PasodeIndios,85.95
2016-04-18,Andacollo,32.38
2016-04-18,BajadaDelAgrio,16.52
2016-04-18,PasodeIndios,88.27
2016-04-19,Andacollo,35.4
2016-04-19,BajadaDelAgrio,18.1
2016-04-19,PasodeIndios,77.85
2016-04-20,Andacollo,26.55
2016-04-20,BajadaDelAgrio,18.31
2016-04-20,PasodeIndios,72.27
2016-04-21,Andacollo,23.05
2016-04-21,BajadaDelAgrio,18.31
2016-04-21,PasodeIndios,71.82
2016-04-22,Andacollo,20.62
2016-04-22,BajadaDelAgrio,18.31
2016-04-22,PasodeIndios,72.44
2016-04-23,Andacollo,20.11
2016-04-23,BajadaDelAgrio,18.91
2016-04-23,PasodeIndios,84.89
2016-04-24,Andacollo,27.79
2016-04-24,BajadaDelAgrio,19.69
2016-04-24,PasodeIndios,120.36
2016-04-25,Andacollo,43.46
2016-04-25,BajadaDelAgrio,19.69
2016-04-25,PasodeIndios,110.46
2016-04-26,Andacollo,35.75
2016-04-26,BajadaDelAgrio,19.69
2016-04-26,PasodeIndios,98.42
2016-04-27,Andacollo,31.07
2016-04-27,BajadaDelAgrio,19.76
2016-04-27,PasodeIndios,94.26
2016-04-28,Andacollo,29.71
2016-04-28,BajadaDelAgrio,20.99
2016-04-28,PasodeIndios,91.54
2016-04-29,Andacollo,29.37
2016-04-29,BajadaDelAgrio,21.15
2016-04-29,PasodeIndios,91.96
2016-04-30,Andacollo,30.51
2016-04-30,BajadaDelAgrio,21.15
2016-04-30,PasodeIndios,93.78
2016-05-01,Andacollo,31.18
2016-05-01,BajadaDelAgrio,21.15
2016-05-01,PasodeIndios,92.2
2016-05-02,Andacollo,39.74
2016-05-02,BajadaDelAgrio,21.23
2016-05-02,PasodeIndios,94.44
2016-05-03,Andacollo,68.45
2016-05-03,BajadaDelAgrio,22.54
2016-05-03,PasodeIndios,96.03
2016-05-04,Andacollo,59.23
2016-05-04,BajadaDelAgrio,22.71
2016-05-04,PasodeIndios,109.78
2016-05-05,Andacollo,53.78
2016-05-05,BajadaDelAgrio,22.71
2016-05-05,PasodeIndios,140.71
2016-05-06,Andacollo,53.77
2016-05-06,BajadaDelAgrio,22.71
2016-05-06,PasodeIndios,134.53
2016-05-07,Andacollo,51.16
2016-05-07,BajadaDelAgrio,22.71
2016-05-07,PasodeIndios,130.92
2016-05-08,Andacollo,47.4
2016-05-08,BajadaDelAgrio,22.71
2016-05-08,PasodeIndios,130.65
2016-05-09,Andacollo,42.53
2016-05-09,BajadaDelAgrio,22.71
2016-05-09,PasodeIndios,129.18
2016-05-10,Andacollo,39.9
2016-05-10,BajadaDelAgrio,22.71
2016-05-10,PasodeIndios,122.24
2016-05-11,Andacollo,37.27
2016-05-11,BajadaDelAgrio,22.71
2016-05-11,PasodeIndios,115.6
2016-05-12,Andacollo,36.51
2016-05-12,BajadaDelAgrio,22.71
2016-05-12,PasodeIndios,114.57
2016-05-13,Andacollo,38.1
2016-05-13,BajadaDelAgrio,22.71
2016-05-13,PasodeIndios,122.37
2016-05-14,Andacollo,36.29
2016-05-14,BajadaDelAgrio,23.44
2016-05-14,PasodeIndios,123.14
2016-05-15,Andacollo,34.87
2016-05-15,BajadaDelAgrio,24.37
2016-05-15,PasodeIndios,121.71
2016-05-16,Andacollo,33.78
2016-05-16,BajadaDelAgrio,24.52
2016-05-16,PasodeIndios,115.6
2016-05-17,Andacollo,33.22
2016-05-17,BajadaDelAgrio,27.12
2016-05-17,PasodeIndios,112.43
2016-05-18,Andacollo,32.09
2016-05-18,BajadaDelAgrio,30.28
2016-05-18,PasodeIndios,112.18
2016-05-19,Andacollo,31.03
2016-05-19,BajadaDelAgrio,35.29
2016-05-19,PasodeIndios,111.48
2016-05-20,Andacollo,33.06
